id_hogar,renglon,pobreden,age_baseline,sex_baseline,yycali_97,state,village,cut,y_post,y_baseline,xbin,bin_midpt
407470,8,1,11,male,739,3,300580096,759.35999,1,1,6,-22.5
642840,7,1,8,female,729,3,300240000,759.35999,1,1,4,-32.5
643920,4,no pobre,16,female,760,3,300790016,759.35999,1,1,11,2.5
642840,5,1,15,male,729,3,300240000,759.35999,1,1,4,-32.5
644290,8,no pobre,13,male,779,3,300790016,759.35999,0,1,14,17.5
328882,3,1,7,male,755,3,300460032,759.35999,1,1,10,-2.5
651025,6,1,8,male,739.5,3,300270016,759.35999,1,1,7,-17.5
649430,4,1,15,male,713,3,300580128,759.35999,0,0,1,-47.5
230171,4,1,7,male,731,3,300140032,759.35999,1,1,5,-27.5
451643,4,1,16,male,735,3,301610080,759.35999,0,1,6,-22.5
511230,5,1,14,male,738.5,3,300580128,759.35999,0,1,6,-22.5
331554,4,1,15,female,742,3,300790016,759.35999,0,1,7,-17.5
640460,4,1,9,male,712,3,300580128,759.35999,1,1,1,-47.5
623475,5,1,14,male,723.25,3,300660032,759.35999,1,1,3,-37.5
407327,5,1,10,male,730,3,300580096,759.35999,1,1,5,-27.5
332192,4,1,8,female,718,3,301960000,759.35999,1,1,2,-42.5
211217,5,1,12,female,756,3,300580096,759.35999,0,1,10,-2.5
113969,8,1,6,female,719,3,300200032,759.35999,1,1,2,-42.5
644210,5,1,10,female,735,3,300580192,759.35999,1,1,6,-22.5
314012,5,1,11,female,747.5,3,300830048,759.35999,1,1,8,-12.5
400922,3,1,6,male,725,3,300830016,759.35999,1,1,4,-32.5
644300,6,no pobre,6,male,801,3,300790016,759.35999,1,1,19,42.5
120614,5,no pobre,7,female,766,3,300210048,759.35999,1,1,12,7.5
222209,4,1,8,female,746,3,301100032,759.35999,1,1,8,-12.5
643450,6,1,11,female,736,3,300240000,759.35999,1,1,6,-22.5
618600,3,1,8,male,735,3,300580000,759.35999,1,1,6,-22.5
514710,5,1,12,male,735,3,300580096,759.35999,1,1,6,-22.5
401824,5,1,14,female,739.5,3,300580128,759.35999,0,1,7,-17.5
649830,7,1,14,male,717,3,300580128,759.35999,1,1,2,-42.5
410349,4,1,12,male,712,3,300580064,759.35999,1,1,1,-47.5
642100,4,1,10,male,719,3,300580096,759.35999,1,1,2,-42.5
420252,2,1,10,female,716,3,300230144,759.35999,1,1,2,-42.5
618020,3,1,15,male,739,3,300580000,759.35999,0,0,6,-22.5
411044,8,1,8,female,734,3,300580032,759.35999,1,1,5,-27.5
644900,4,1,10,male,752,3,300580064,759.35999,1,1,9,-7.5
450193,6,1,10,female,739,3,300580064,759.35999,1,1,6,-22.5
642840,8,1,7,female,729,3,300240000,759.35999,1,1,4,-32.5
649260,4,1,12,female,735,3,300580128,759.35999,1,1,6,-22.5
642720,6,1,13,female,718,3,300240000,759.35999,1,0,2,-42.5
113968,6,1,10,female,741,3,300200032,759.35999,1,1,7,-17.5
657142,4,1,8,female,728,3,300830048,759.35999,1,1,4,-32.5
518600,4,1,11,female,733,3,300580000,759.35999,1,1,5,-27.5
156812,5,1,7,male,740.5,3,300830080,759.35999,1,1,7,-17.5
